0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	5.45	2.97	2.39	0.79	1.21	0	0	0	0	0
0	0	0	0	0	2.03	4.6	5.42	8.08	8.32	8.08	5.66	5.05	1.21	0.61	0	0	0
0	0	0	1.82	2.39	2.84	4.87	7.69	9.26	8.02	8.26	7.47	6.66	4.87	1.42	0	0	0
0	0	1	2.6	2.6	5.05	7.9	9.05	7.05	6.23	7.05	6.48	7.29	6.69	4.24	1	0	0
0	0	1.63	3.24	5.42	2	6.23	6.84	6.05	4.63	4.42	5.23	5.26	5.87	7.87	2.21	0	0
0	0	2	4.05	6.23	5.45	4.45	4.81	9.89	10.11	5.02	4.02	5.23	7.69	0.39	3	0	0
0	0	2.81	3.81	4.84	4.63	3.63	7.69	9.65	7.26	10.08	6.69	7.69	8.08	6.66	2.03	0	0
0	0	2.21	5.66	5.26	4.05	3.63	6.87	9.65	11.13	9.71	5.9	7.9	8.08	8.08	3.78	0	0
0	0	2.21	4.42	6.66	4.84	4.24	4.42	5.02	5.42	5.81	7.29	9.11	9.08	7.87	2.57	0	0
0	0	0.79	4.84	5.84	5.69	4.87	4.63	3.6	0.39	3.63	9.14	8.8	9.68	6.69	4.21	0	0
0	0	0	3.21	5.66	5.84	5.05	4.84	2.42	0	3.42	9.71	7.29	7.08	3.84	0.82	0	0
0	0	0	0	3.39	3.81	5.26	6.63	2.45	0	2.18	10.14	8.47	2.6	1	0	0	0
0	0	0	0	0	2.03	4.24	6.44	1.39	0	0	6.29	2.39	0.61	0	0	0	0
0	0	0	0	0	0	0	2.21	0.61	0	0	1.39	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

